Cocktail_Name,Liquor,Garnish,Glassware,Original_Source,Ingredient_1,Measurement_1,Ingredient_2,Measurement_2,Ingredient_3,Measurement_3,Ingredient_4,Measurement_4,Ingredient_5,Measurement_5,Ingredient_6,Measurement_6,Ingredient_7,Measurement_7,Ingredient_8,Measurement_8,Ingredient_9,Measurement_9,Ingredient_10,Measurement_10,Ingredient_11,Measurement_11,Ingredient_12,Measurement_12,Ingredient_13,Measurement_13,Instruction_1,Instruction_2,Instruction_3,Instruction_4,Instruction_5,Instruction_6,Instruction_7,Instruction_8,Instruction_9,Instruction_10,Instruction_11,Instruction_12,Instruction_13,Instruction_14,Instruction_15,Instruction_16,Instruction_17,Instruction_18,Instruction_19,Instruction_20,Instruction_21,Instruction_22,Instruction_23
Golden Slipper,Brandy,N/A,Cocktail Glass,N/A,Yellow Chartreuse,0.75 oz,Apricot-Flavored Brandy,2 oz,,,,,,,,,,,,,,,,,,,,,,,1: Stir with ice and strain into cocktail glass.,,,,,,,,,,,,,,,,,,,,,,
Golden Slipper Cocktail,Brandy,N/A,Cocktail Glass,N/A,Yellow Chartreuse,0.75 oz,Old Mr. Boston Apricot Flavored Brandy,2 oz,,,,,,,,,,,,,,,,,,,,,,,1: Stir with ice and strain into cocktail glass.,2: Float an unbroken egg yolk on top.,,,,,,,,,,,,,,,,,,,,,
Goldrush,Whiskey,N/A,Old-Fashioned Glass,N/A,Bourbon Whiskey,2 oz,Fresh Lemon Juice,0.75 oz,Honey Syrup,1 oz,,,,,,,,,,,,,,,,,,,,,1: Shake and strain into ice-filled old-fashioned glass.,,,,,,,,,,,,,,,,,,,,,,
Gotham,Absinthe,N/A,Old-Fashioned Glass,N/A,Absinthe Or Pastis,1 oz,Brandy,3 oz,Peach Bitters,3 oz,,,,,,,,,,,,,,,,,,,,,1: Pour absinthe into chilled old-fashioned glass and swirl to coat.,2: Shake brandy and bitters with ice and strain into glass.,3: Add lemon twist.,,,,,,,,,,,,,,,,,,,,
Gran Classico Negroni,Gin,Orange Twist,N/A,N/A,Tempus Fugit Gran Classico Bitter,0.75 oz,No.3 London Dry Gin,0.75 oz,Tempus Fugit Alessio Vermouth Di Torino Rosso,0.75 oz,,,,,,,,,,,,,,,,,,,,,1: Strain Into An Ice Filled Glass And Garnish With An Orange Twist.,,,,,,,,,,,,,,,,,,,,,,
Grande Guignol,Rum,N/A,Cocktail Glass,N/A,Dark Rum,1.5 oz,Yellow Chartreuse,0.75 oz,Cherry Heering,0.75 oz,Fresh Lime Juice,0.75 oz,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into chilled cocktail glass.,2: Garnish with lime.,,,,,,,,,,,,,,,,,,,,,
Grandfather,Whiskey,N/A,Cocktail Glass,N/A,Bourbon Whiskey,1 oz,Applejack,1 oz,Sweet Vermouth,1 oz,Angostura Bitters,1 oz,Peychaud'S Bitters,1 oz,,,,,,,,,,,,,,,,,1: Stir with ice and strain into chilled cocktail glass.,2: Garnish with cherry.,,,,,,,,,,,,,,,,,,,,,
Grape Nehi,Vodka,N/A,Cocktail Glass,N/A,Vodka,1 oz,Raspberry-Flavored Liqueur,1 oz,Fresh Lemon Juice,1 oz,,,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into chilled cocktail glass.,,,,,,,,,,,,,,,,,,,,,,
Grape Vodka Froth,Vodka,N/A,Old-Fashioned Glass,N/A,Vodka,1.5 oz,Grape Juice,1 oz,Egg White,1 oz,Lemon Juice,1 oz,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into old-fashioned glass over ice cubes.,,,,,,,,,,,,,,,,,,,,,,
Grapefruit Cocktail,Gin,N/A,Cocktail Glass,N/A,Grapefruit Juice,1 oz,Gin,1 oz,Maraschino,1 oz,,,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into cocktail glass.,2: Serve with a cherry.,,,,,,,,,,,,,,,,,,,,,
Grapefruit Gimlet Royale,Vodka,N/A,Cocktail Glass,N/A,Vodka,1.5 oz,Fresh Grapefruit Juice,1 oz,Fresh Lime Juice,0.25 oz,Simple Syrup,0.25 oz,Chilled Champagne,2 oz,,,,,,,,,,,,,,,,,1: Shake first four ingredients with ice and strain into chilled cocktail glass.,2: Top with Champagne.,,,,,,,,,,,,,,,,,,,,,
Grapefruit Nog,Brandy,N/A,Collins Glass,N/A,Brandy,1.5 oz,Grapefruit Juice,0.5 oz,Lemon Juice,1 oz,Honey,1 oz,Whole Egg,1 oz,,,,,,,,,,,,,,,,,1: Blend all ingredients with a cup of crushed ice at low speed and pour into collins glass over ice cubes.,,,,,,,,,,,,,,,,,,,,,,
Grasshopper Cocktail,N/A,N/A,Cocktail Glass,N/A,Old Mr. Boston Green Creme De Menthe,0.75 oz,Old Mr. Boston White Creme De Cacao,0.75 oz,Light Sweet Cream,0.75 oz,,,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into cocktail glass.,,,,,,,,,,,,,,,,,,,,,,
Green Devil,Gin,N/A,Old-Fashioned Glass,N/A,Gin,1.5 oz,Green Creme De Menthe,1.5 oz,Lime Juice,1 oz,,,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into old-fashioned glass over ice cubes.,2: Decorate with mint leaves.,,,,,,,,,,,,,,,,,,,,,
Green Dragon Cocktail,Gin,N/A,Cocktail Glass,N/A,Juice Of A Lemon,0.5 oz,Old Mr. Boston Kummel,0.5 oz,Old Mr. Boston Green Creme De Menthe,0.5 oz,Old Mr. Boston Dry Gin,1.5 oz,Orange Bitters,4 oz,,,,,,,,,,,,,,,,,1: Shake with ice and strain into cocktail glass.,,,,,,,,,,,,,,,,,,,,,,
Green Fizz,Gin,N/A,Highball Glass,N/A,Powdered Sugar,1 oz,Egg White,1 oz,Juice Of A Lemon,0.5 oz,Gin,2 oz,Green Creme De Menthe,1 oz,,,,,,,,,,,,,,,,,1: Shake with ice and strain into highball glass over two cubes of ice.,2: Fill with carbonated water and stir.,,,,,,,,,,,,,,,,,,,,,
Green Opal,Gin,N/A,Cocktail Glass,N/A,Gin,0.5 oz,Anisette,0.5 oz,Anis,1 oz,,,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into cocktail glass.,,,,,,,,,,,,,,,,,,,,,,
Green Opal Cocktail,Gin,N/A,Cocktail Glass,N/A,Old Mr. Boston Dry Gin,0.5 oz,Old Mr. Boston Anisette ,0.5 oz,Absinthe Substitute,1 oz,,,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into cocktail glass.,,,,,,,,,,,,,,,,,,,,,,
Greenback,Gin,N/A,Old-Fashioned Glass,N/A,Gin,1.5 oz,Green Creme De Menthe,1 oz,Lemon Juice,1 oz,,,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into old-fashioned glass over ice cubes.,,,,,,,,,,,,,,,,,,,,,,
Greenpoint,Whiskey,N/A,Cocktail Glass,N/A,Straight Rye Whiskey,2 oz,Yellow Chartreuse,0.5 oz,Sweet Vermouth,0.5 oz,Angostura Bitters,1 oz,Orange Bitters,1 oz,,,,,,,,,,,,,,,,,1: Stir with ice and strain into chilled cocktail glass.,2: Add lemon twist.,,,,,,,,,,,,,,,,,,,,,
Grenadine Rickey,N/A,N/A,Highball Glass,N/A,Juice Of A Lime,0.5 oz,Grenadine,1.5 oz,,,,,,,,,,,,,,,,,,,,,,,1: Pour into highball glass over ice cubes and fill with carbonated water.,2: Stir.,3: Put a slice of lime in glass.,,,,,,,,,,,,,,,,,,,,
Grounds For Divorce,Whiskey,N/A,Cocktail Glass,N/A,Straight Rye Whiskey,1.5 oz,Kirschwasser,0.75 oz,Cynar,0.25 oz,Amaro,0.5 oz,,,,,,,,,,,,,,,,,,,1: Stir and strain into chilled cocktail glass.,2: Add orange twist.,,,,,,,,,,,,,,,,,,,,,
Grown-Up Shirley Temple,N/A,Luxardo Cherry,Highball Glass,Bar: Gastronomista.com,Luxardo Cherry Syrup (From Jar Of Cherries),1 oz,Fresh Lemon Juice (Optional),0.25 oz,Soda Water,6 oz,,,,,,,,,,,,,,,,,,,,,"1: Fill A Highball Glass With Ice, And Build The Syrup, Lemon Juice, And Soda Water.","2: Stir, And Garnish With A Luxardo Maraschino Cherry.",,,,,,,,,,,,,,,,,,,,,
Guadalajara,Tequila,N/A,Cocktail Glass,N/A,Blanco Tequila,2 oz,Dry Vermouth,1 oz,Benedictine,0.5 oz,,,,,,,,,,,,,,,,,,,,,1: Stir with ice and strain into chilled cocktail glass.,2: Add lemon twist.,,,,,,,,,,,,,,,,,,,,,
H. P. W. Cocktail,Vermouth,N/A,Cocktail Glass,N/A,Dry Vermouth,1.5 oz,Sweet Vermouth,1.5 oz,Gin,1.5 oz,,,,,,,,,,,,,,,,,,,,,1: Stir with ice and strain into cocktail glass.,2: Add a twist of orange peel.,,,,,,,,,,,,,,,,,,,,,
H.P.W. Cocktail,Vermouth,N/A,Cocktail Glass,N/A,Dry Vermouth,1.5 oz,Sweet Vermouth,1.5 oz,Gin,1.5 oz,,,,,,,,,,,,,,,,,,,,,1: Stir with ice and strain into cocktail glass.,2: Add a twist of orange peel.,,,,,,,,,,,,,,,,,,,,,
Hai Karate,Rum,N/A,Collins Glass,N/A,Dark Rum,2 oz,Fresh Lime Juice,1 oz,Pineapple Juice,1 oz,Orange Juice,1 oz,Maple Syrup,1 oz,Angostura Bitters,1 oz,,,,,,,,,,,,,,,1: Shake with ice and strain into ice-filled Collins glass.,2: Garnish with cherry/orange flag.,,,,,,,,,,,,,,,,,,,,,
Hair Raiser,Vodka,N/A,Cocktail Glass,N/A,100-Proof Vodka,1.5 oz,Rock And Rye,0.5 oz,Lemon Juice,1 oz,,,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into cocktail glass.,,,,,,,,,,,,,,,,,,,,,,
Hair Raiser Cocktail,Vodka,N/A,Cocktail Glass,N/A,Old Mr. Boston 100 Proof Vodka,1.5 oz,Old Mr. Boston Rock And Rye,0.5 oz,Lemon Juice,1 oz,,,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into cocktail glass.,,,,,,,,,,,,,,,,,,,,,,
Hairy Sunrise,Tequila,N/A,Collins Glass,N/A,Blanco Tequila,0.75 oz,Vodka,0.75 oz,Triple Sec,0.5 oz,Orange Juice,3 oz,Fresh Grenadine,1 oz,,,,,,,,,,,,,,,,,1: Shake first four ingredients with ice.,2: Strain into ice-filled Collins glass.,3: Float grenadine on top.,4: Garnish with lime.,,,,,,,,,,,,,,,,,,,
Hanky Panky (Classic),Gin,Orange Peel,N/A,N/A,No.3 London Dry Gin,1.5 oz,Tempus Fugit Alessio Vermouth Di Torino Rosso,1.5 oz,Luxardo Fernet,2 dash,,,,,,,,,,,,,,,,,,,,,1: Shake Ingredients With Ice Then Strain Into A Chilled Cocktail Glass.,,,,,,,,,,,,,,,,,,,,,,
Hanny's Hot Apple Toddy,N/A,Cinnamon,Glass Mug,Bartender: St. John Frizell,Luxardo Amaretto Di Saschira,1.5 oz,Apple Cider,8 oz,Heavy Cream,,Cinnamon,,,,,,,,,,,,,,,,,,,,1: Fill A 10-Oz Mug With Boiling Water.,"2: When The Mug Is Hot, Pour Out The Water And Add The Amaretto And Cider.",3: Top With A Layer Of Cream.,4: Grate Fresh Cinnamon On Top As A Garnish.,,,,,,,,,,,,,,,,,,,
Happiness,Gin,Edible Flower,Coupe Glass,"Bartender: Danny Louie, Bar: Mister Jiu's, Location: San Francisco",Jasmine Tea/Rice-Infused Junipero Gin,1.5 oz,Leopold Bros. Sour Apple Liqueur,0.75 oz,Lime,0.75 oz,House-Made Honey Syrup,0.5 oz,Lo-Fi Gentian Amaro,0.25 oz,,,,,,,,,,,,,,,,,"1: Add All Ingredients In A Cocktail Shaker, Shake, Fine Strain Into A Chilled Coupe Or Martini Glass.",2: Garnish With Edible Flower.,3: Jasmine Tea/Rice-Infused Junipero Gin: -- 1 Bottle (750Ml) Junípero Gin --.,4: 5 Cup Jasmine Tea --.,5: 5 Cup Jasmine Rice (Wash Rice To Eliminate Starch)  Sous Vide Version: Wash The Jasmine Rice To Clean Out The Starch.,6: Fill Container With Hot Water.,7: Set Sous Vide At 52C.,8: Add Vacuum Seal Bag With Jasmine Tea/Rice In Bath.,9: Let Sit In Bath For 45 Minutes.,10: Take The Bag Out Of Bath And Sit It In Ice Bath For 15 Minutes.,11: Open Bag And Fine Strain Back Into Bottle.,12: Infusion Version: Wash The Jasmine Rice To Clean Out The Starch.,"13: In A Cambro/Mason Jar, Add Junípero Gin And Jasmine Tea And Rice.",14: Let Infuse For 24 Hours.,15: Fine Strain Into Bottle.,16: House-Made Honey Syrup:   Put Equal Parts Of Honey (10 Oz) And Water (10 Oz) In A Saucepan.,"17: Boil, Then Turn Down To A Simmer And Stir Until The Honey Is Completely Dissolved.",,,,,,
Harms' Way,Tequila,Lemon Peel,Coupe Glass,"Bartender: Taylor Wright, Location: Houston",Luxardo Bitter Bianco,1 oz,Blanco Tequila,1.25 oz,D.O.M Benedictine,0.25 oz,Bittermens Xocolatl Mole Bitters,1 dash,,,,,,,,,,,,,,,,,,,1: Pour All Liquid Ingredients Into A Mixing Glass And Stir About 55 Times For Proper Dilution And Optimal Clarity.,2: Strain Into A Chilled Coupe.,3: Twist Fresh Lemon Peel Over Cocktail For Aroma.,"4: Garnish With A Simple Lemon Peel, Trimmed Neatly.",,,,,,,,,,,,,,,,,,,
Harrington,Vodka,N/A,Cocktail Glass,N/A,Vodka,1.5 oz,Triple Sec,0.25 oz,Green Chartreuse,1 oz,,,,,,,,,,,,,,,,,,,,,1: Stir with ice and strain into chilled cocktail glass.,2: Add orange zest.,,,,,,,,,,,,,,,,,,,,,
Harvard Cocktail,Brandy,N/A,Cocktail Glass,N/A,Brandy,1.5 oz,Sweet Vermouth,0.75 oz,Fresh Lemon Juice,0.5 oz,Grenadine,1 oz,Angostura Bitters,1 oz,,,,,,,,,,,,,,,,,1: Shake with ice and strain into chilled cocktail glass.,,,,,,,,,,,,,,,,,,,,,,
Harvard Cooler,Brandy,N/A,Collins Glass,N/A,Apple Brandy,2 oz,Simple Syrup,0.5 oz,,,,,,,,,,,,,,,,,,,,,,,1: Stir brandy and syrup in Collins glass.,2: Add ice cubes and fill with soda water or ginger ale.,3: Insert spiral of orange or lemon zest (or both) and dangle end(s) over rim of glass.,,,,,,,,,,,,,,,,,,,,
Harvest Moon,Whiskey,N/A,Cocktail Glass,N/A,Straight Rye Whiskey,1.5 oz,Lillet Blanc,1 oz,Apple Brandy,0.5 oz,Green Chartreuse,0.25 oz,Angostura Bitters,2 oz,,,,,,,,,,,,,,,,,1: Stir with ice and strain into chilled cocktail glass.,2: Add orange twist.,,,,,,,,,,,,,,,,,,,,,
Harvest Nectar,Rum,N/A,Beer Mug,N/A,Light Rum,1.5 oz,Pineapple Juice,1 oz,Cranberry Juice,1 oz,Orange Juice,1 oz,Lemon-Lime Soda,1 oz,,,,,,,,,,,,,,,,,1: Shake with ice and strain into ice-filled beer mug.,,,,,,,,,,,,,,,,,,,,,,
Hawaiin Cocktail,Gin,N/A,Cocktail Glass,N/A,Gin,2 oz,Pineapple Juice,1 oz,Triple Sec,0.5 oz,,,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into cocktail glass.,,,,,,,,,,,,,,,,,,,,,,
Headless Horseman,Vodka,N/A,Collins Glass,N/A,Vodka,2 oz,Angostura Bitters,3 oz,,,,,,,,,,,,,,,,,,,,,,,1: Pour vodka and bitters into Collins glass.,"2: Add ice, fill with ginger ale, and stir.",3: Garnish with orange.,,,,,,,,,,,,,,,,,,,,
Heard It Through The Grapevine,H By Hine,Orange Zest,Nick & Nora Glass,"Bartender: Jeramy Campbell, Bar: Juliet Ristorante, Location: Austin",H By Hine,1.5 oz,Graham'S 20 Year Tawny Port,0.75 oz,Tempus Fugit Kina L'Aero D'Or,0.5 oz,Velvet Falernum,0.33 oz,Benedictine,0.25 oz,,,,,,,,,,,,,,,,,1: Combine All Ingredients And Stir.,2: Pour The Mixture Into A Chilled Nick & Nora Glass And Garnish With The Orange Zest.,,,,,,,,,,,,,,,,,,,,,
Heart Breaker,Rye,Lemon Twist,Cocktail Glass,"Bartender: Sother Teague, Bar: Amor y Amargo, Location: New York",Bonded Rye,1.5 oz,Luxardo Amaro Abano,0.5 oz,Punt E Mes,0.5 oz,Angostura Bitters,7 dash,,,,,,,,,,,,,,,,,,,1: Pour All Ingredients Into A Mixing Glass With Ice.,2: Stir To Chill And Dilute.,3: Strain Into A Chilled Cocktail Glass.,4: Express The Oil From The Twist Over The Drink And Discard.,,,,,,,,,,,,,,,,,,,
Heather Blush,Whiskey,N/A,Champagne Flute Glass,N/A,Blended Scotch Whiskey,1 oz,Strawberry Liqueur,1 oz,Chilled Sparkling Wine,3 oz,,,,,,,,,,,,,,,,,,,,,1: Pour Scotch and liqueur into chilled champagne flute.,2: Top with sparkling wine.,3: Garnish with strawberry.,,,,,,,,,,,,,,,,,,,,
Heather's Kiss,Whiskey,N/A,Cocktail Glass,N/A,Blended Scotch Whiskey,2.25 oz,Fresh Lemon Juice,0.5 oz,Agave Nectar,0.25 oz,Absinthe,1 oz,,,,,,,,,,,,,,,,,,,1: Shake with ice strain into chilled cocktail glass.,2: Garnish with apple slice.,,,,,,,,,,,,,,,,,,,,,
Heavenly Dram,Whisky,N/A,Cocktail Glass,N/A,Single-Malt Scotch Whisky,2 oz,Pedro Ximenez Sherry,0.5 oz,Fresh Lemon Juice,0.75 oz,Honey Syrup,0.25 oz,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into chilled cocktail glass.,2: Add lemon twist.,,,,,,,,,,,,,,,,,,,,,
Hebrides,Whisky,N/A,Collins Glass,N/A,Single-Malt Scotch Whisky,1.5 oz,Maraschino Liqueur,0.5 oz,Triple Sec,0.5 oz,Apple Juice,2 oz,Fresh Lemon Juice,0.5 oz,Angostura Bitters,1 oz,,,,,,,,,,,,,,,1: Pour into ice-filled Collins glass and stir.,,,,,,,,,,,,,,,,,,,,,,
Hemingway Daiquiri,Rum,Grapefruit Twist,Coupe Glass,N/A,Pink Pigeon Rum,1.5 oz,Fresh Lime Juice,0.75 oz,Fresh Grapefruit Juice,0.5 oz,Luxardo Maraschino Liqueur,0.5 oz,,,,,,,,,,,,,,,,,,,1: Shake With Ice In A Mixing Tin And Double Strain Into A Chilled Cocktail Coupe.,2: Garnish With A Grapefruit Twist.,,,,,,,,,,,,,,,,,,,,,
Hemingway's Nog,Rum,N/A,Cocktail Glass,N/A,Dark Rum,1.5 oz,Vanilla Liqueur,0.75 oz,Simple Syrup,0.25 oz,Creme Fraiche,1 oz,"Tiki Bitters, Such As Bittermen'S Elemakule",3 oz,,,,,,,,,,,,,,,,,1: Shake with ice and strain into chilled cocktail glass.,2: Top with nutmeg.,,,,,,,,,,,,,,,,,,,,,
Hennessy Martini,Cognac,N/A,Cocktail Glass,N/A,Hennessy V.S Cognac,2 oz,Lemon Juice,0.5 oz,,,,,,,,,,,,,,,,,,,,,,,1: Fill shaker or mixing glass with ice.,2: Add Hennessy and lemon juice.,"3: Stir gently, don't shake.",4: Let settle.,5: Strain into chilled martini glass.,6: Garnish with twist of lemon peel.,,,,,,,,,,,,,,,,,
Hibiscus Pisco Sour,Pisco,N/A,Coupe Glass,"Bartender: Naren Young, Bar: Saxon & Parole, Location: New York",Barsol Primero Quebranta Pisco,2 oz,Lime Juice,0.75 oz,Hibiscus/Rose Syrup,0.75 oz, Egg White,1,,,,,,,,,,,,,,,,,,,"1: Dry Shake, Add Ice And Shake Again.",2: Strain Into A Coupe Glass.,,,,,,,,,,,,,,,,,,,,,
Hidarite,Whiskey,N/A,N/A,N/A,Nikka Coffey Grain Whiskey,1.5 oz,Luxardo Bitter,0.75 oz,Tempus Fugit Alessio Vermouth Di Torino Rosso,0.75 oz,Chocolate Bitters,2 dash,,,,,,,,,,,,,,,,,,,1: Chilled.,2: Serve Up Or On The Rocks.,,,,,,,,,,,,,,,,,,,,,
High Plains Drifter No. 1,Tequila,N/A,Cocktail Glass,N/A,Campari,1 oz,Blanco Tequila,2 oz,Fresh Lime Juice,0.75 oz,Honey Syrup,0.75 oz,Angostura Bitters,1 oz,,,,,,,,,,,,,,,,,1: Swirl Campari in chilled cocktail glass to coat inside; discard excess Campari.,2: Shake remaining ingredients with ice and strain into glass.,,,,,,,,,,,,,,,,,,,,,
Highland Cooler,Whiskey,N/A,Collins Glass,N/A,Blended Scotch Whiskey,2 oz,Simple Syrup,0.5 oz,,,,,,,,,,,,,,,,,,,,,,,1: Stir Scotch and syrup in Collins glass.,2: Add ice.,3: Fill with soda and stir again.,4: Insert citrus spiral(s) and dangle end(s) over rim of glass.,,,,,,,,,,,,,,,,,,,
Hill Dog,Whiskey,N/A,Cocktail Glass,N/A,White Whiskey,1.5 oz,Grand Marnier,0.5 oz,Dry Sherry,0.5 oz,Lavender Syrup,0.5 oz,,,,,,,,,,,,,,,,,,,1: Stir with ice and strain into chilled cocktail glass.,2: Add orange twist.,,,,,,,,,,,,,,,,,,,,,
Hippi Hill,Vodka,Lime Wheel,Coupe Glass,"Bartender: Karri Cormican, Bar: Comstock Saloon, Location: San Francisco",Hophead Vodka,1.5 oz,King'S Ginger Liqueur,0.75 oz,Lime Juice,0.5 oz,Cranberry Juice,0.5 oz,,,,,,,,,,,,,,,,,,,"1: Shake, Fine Strain Into Chilled Coupe.",2: Garnish With Lime Wheel.,,,,,,,,,,,,,,,,,,,,,
Hoffman House Cocktail,Vermouth,N/A,Cocktail Glass,N/A,Dry Vermouth,0.75 oz,Gin,1.5 oz,,,,,,,,,,,,,,,,,,,,,,,1: Stir with ice and strain into cocktail glass.,2: Serve with an olive.,,,,,,,,,,,,,,,,,,,,,
Hole-In-One,Whiskey,N/A,Cocktail Glass,N/A,3/4 Ozblended Scotch Whiskey,1,Dry Vermouth,0.75 oz,Fresh Lemon Juice,0.25 oz,Orange Bitters,1 oz,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into chilled cocktail glass.,,,,,,,,,,,,,,,,,,,,,,
Hole-in-One Cocktai,Scotch,N/A,Cocktail Glass,N/A,Scotch,1.75 oz,Vermouth,0.75 oz,Lemon Juice,0.25 oz,Orange Bitters,1 oz,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into cocktail glass.,,,,,,,,,,,,,,,,,,,,,,
Hole-in-One Cocktail,Whisky,N/A,Cocktail Glass,N/A,Desmond & Duff Scotch Whisky,1.75 oz,Dry Vermouth,0.75 oz,Lemon Juice,0.25 oz,Orange Bitters,1 oz,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into cocktail glass.,,,,,,,,,,,,,,,,,,,,,,
Holland House,Liqueur,"Lemon Peel, Pineapple",Cocktail Glass,"Bartender: Jason Patz, Bar: Union Lodge No.1, Location: Denver",Genever,1 oz,Luxardo Maraschino Liqueur,1 oz,Dry Vermouth,0.5 oz,Lemon Juice,0.5 oz,Pineapple Gomme Syrup,0.5 oz,,,,,,,,,,,,,,,,,1: Shake.,2: Serve Up.,3: Garnish With Lemon Peel/Pineapple.,,,,,,,,,,,,,,,,,,,,
Honeymoon Cocktail,Brandy,N/A,Cocktail Glass,N/A,Apple Brandy,0.75 oz,Benedictine,0.75 oz,Fresh Lemon Juice,0.75 oz,Triple Sec,0.5 oz,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into chilled cocktail glass.,,,,,,,,,,,,,,,,,,,,,,
Hoot Mon Cocktail,Whiskey,N/A,Cocktail Glass,N/A,Blended Scotch Whiskey,1.5 oz,Sweet Vermouth,0.75 oz,Benedictine,1 oz,,,,,,,,,,,,,,,,,,,,,1: Stir with ice and strain into chilled cocktail glass.,2: Add lemon twist.,,,,,,,,,,,,,,,,,,,,,
Hop Toad,Rum,N/A,Cocktail Glass,N/A,Light Rum,0.75 oz,Apricot-Flavored Brandy,0.75 oz,Fresh Lime Juice,0.5 oz,,,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into chilled cocktail glass.,,,,,,,,,,,,,,,,,,,,,,
Hop Toad Cocktail ,Brandy,N/A,Cocktail Glass,N/A,Juice Of A Lime,0.5 oz,Old Mr. Boston Apricot Flavored Brandy,0.75 oz,Old Mr. Boston Rum,0.75 oz,,,,,,,,,,,,,,,,,,,,,1: Stir with ice and strain into cocktail glass.,,,,,,,,,,,,,,,,,,,,,,
Hophead Dirty Martini,Vodka,Olive,Martini Glass,N/A,Hophead Vodka,4 oz,Olive Juice,0.5 oz,Dry Vermouth,1 dash,,,,,,,,,,,,,,,,,,,,,1: Combine All Ingredients Into A Mixing Glass And Add Ice.,2: Shake And Strain Into A Martini Glass.,3: Garnish With An Olive.,,,,,,,,,,,,,,,,,,,,
Hophead Old Fashioned,Vodka,"Dukes Lemon Zest, Dukes Grapefruit Zest",Bucket Glass,Location: San Francisco,Hophead Vodka,2 oz,Simple Syrup,0.25 oz,Angostura Bitters,2 dash,Fee Brothers Gin Barrel Aged Bitters,1 dash,,,,,,,,,,,,,,,,,,,1: Combine All Ingredients Into A Mixing Glass And Stir Until Proper Dilution.,2: Strain Into A Chilled Bucket Glass Over A Large Ice Cube And Garnish With A Dukes Lemon And Dukes Grapefruit Zest.,,,,,,,,,,,,,,,,,,,,,
Hopped-Up Mule,Vodka,Lime Wheel,Collins Glass,Bartender: Jeff Hollinger,Hophead Vodka,2 oz,King'S Ginger Liqueur,0.5 oz,Lime Juice,0.75 oz,,,,,,,,,,,,,,,,,,,,,"1: Combine Hophead Vodka, Kings Ginger, And Lime Juice In A Collins Glass And Fill With Ice.",2: Top With Ginger Beer.,3: Stir.,4: Garnish With A Lime Wheel.,,,,,,,,,,,,,,,,,,,
Horse's Neck (With A Kick),Whiskey,N/A,Collins Glass,N/A,Wide Spiral Of Lemon Zest,1 oz,Bourbon Whiskey,2 oz,Ginger Ale,1 oz,,,,,,,,,,,,,,,,,,,,,1: Insert the lemon spiral in Collins glass with one end hanging over the rim.,2: Fill glass with ice cubes.,3: Add whiskey.,4: Fill with ginger ale and stir well.,,,,,,,,,,,,,,,,,,,
Hot Shot Margarita,Tequila,N/A,Cocktail Glass,N/A,Tequila,2 oz,Hot Shot Tropical Fruit Liqueur,1 oz,Lemon Or Lime Juice,1.5 oz,,,,,,,,,,,,,,,,,,,,,"1: Rub rim of cocktail glass with rind of lemon or lime, dip rim in salt.",2: Shake ingredients with ice and strain into the salt-rimmed glass.,,,,,,,,,,,,,,,,,,,,,
Hotaling Old Tom Gin,Gin,"Orange Peel, Star Anise",Stemless Wine Glass,"Bartender: Enrique Sanchez, Bar: The Commissary, Location: Los Angeles",Old Tom Gin,1.5 oz,7-Spice Syrup,0.5 oz,Lemon Juice,0.75 oz,Fever-Tree Tonic,1.5 oz,,,,,,,,,,,,,,,,,,,1: Garnished With Orange Peel And Star Anise.,2: Served Over The Rocks In A Stemless Wine Glass.,,,,,,,,,,,,,,,,,,,,,
Hotaling Seaside Shandy,Gin,N/A,N/A,Bartender: Jeff Hollinger,Genevieve Gin,1 oz,Bottle Lager,1,,,,,,,,,,,,,,,,,,,,,,,"1: Genevieve Is Hotaling'S Interpretation Of Genever, An Ancient And Mysterious Gin Style.",2: The Most Common Way To Consume Genever Has Always Been Straight.,"3: If You Are Planning To Set Sail For The Day, Picnic Or Do Something Else To Enjoy The Great Outdoors, We Recommend Throwing A Bottle Of Genevieve In The Freezer The Evening Before Your Outing And Moving It To The Cooler Day Of.",4: We Sip It Straight While Enjoying A Lager.,"5: Glassware Is Dealer'S Choice, But Cordial Glasses Are Elegant And Fun.",,,,,,,,,,,,,,,,,,
